PIN,Lat,Long
125119,20.593684,78.96288
125120,29.6507626,75.8766333
125121,29.362856,75.946324
125132,20.593684,78.96288
125133,29.7767703,75.7836589
125201,29.8288899,75.0377502
126101,29.1176923,76.4331698
126102,29.2857394,76.2942507
126109,20.593684,78.96288
126110,29.4038329,76.4447397
126111,29.4823276,76.4331698
126112,29.4102094,76.6181655
126113,29.3096168,76.5257007
126114,29.2041673,76.3868797
126115,29.4581763,76.2015572
126116,29.6756695,76.1088001
126123,20.593684,78.96288
126124,20.593684,78.96288
126125,29.4625469,76.3521514
126151,20.593684,78.96288
126152,29.5294636,76.01598
127020,20.593684,78.96288
127021,28.7693181,76.1551866
127022,28.5044544,76.247912
127024,20.593684,78.96288
127025,28.755358,76.3521514
127026,28.5918445,76.097201
127027,28.8600923,76.2594981
127028,28.6695395,75.6440842
127029,28.6943882,75.8766333
127030,28.6127957,75.9695465
127031,28.8606871,76.1551866
127032,28.942285,76.0623979
127034,20.593684,78.96288
127035,28.9731855,75.9230976
127038,20.593684,78.96288
127039,20.593684,78.96288
127040,28.8770077,75.8766333
127041,28.9874453,76.1667807
127042,28.7253625,76.2826675
127043,28.7708381,75.737149
127044,20.593684,78.96288
127045,28.9508443,75.6091696
127046,28.8672817,75.5742467
127110,20.593684,78.96288
127111,28.76741,76.0275859
127113,20.593684,78.96288
127114,28.8672575,76.3289941
127201,28.5017208,75.7836589
127305,20.593684,78.96288
127306,28.5912199,76.2015572
127307,28.6512549,76.3405733
127308,28.5213393,75.9695465
127309,28.6953309,76.2131474
127310,28.4443293,76.1088001
127311,20.593684,78.96288
127312,20.593684,78.96288
131001,28.9905081,76.9873477
131002,20.593684,78.96288
131020,20.593684,78.96288
131021,28.9582084,77.1255055
131022,28.9711464,76.9066829
131023,28.9043194,77.1600201
131024,29.08317,76.8836261
131026,20.593684,78.96288
131027,29.0600389,77.1139984
131028,28.8676987,77.1481919
131029,28.8976429,77.0909809
131030,20.593684,78.96288
131038,20.593684,78.96288
131039,29.0784242,77.067959
131040,20.593684,78.96288
131101,29.1424931,77.0219019
131102,29.1105776,76.9297354
131103,28.8680369,77.0219019
131301,29.1001866,76.7105632
131302,29.2128929,76.583499
131303,20.593684,78.96288
131304,29.1271519,76.5257007
131305,29.1448311,76.8144298
131306,29.2110242,76.7913558
131310,20.593684,78.96288
131401,20.593684,78.96288
131402,28.8899496,76.8951551
131403,28.9299326,76.9527836
131406,20.593684,78.96288
131407,28.8901303,76.8227613
131408,28.9620217,76.8144298
131409,29.0134263,76.7567368
132001,29.6386837,77.0794705
132020,20.593684,78.96288
132021,20.593684,78.96288
132022,29.6990234,77.1139984
132023,29.7650496,77.0909809
132024,29.7429761,76.7567368
132035,20.593684,78.96288
132036,29.615757,76.8490328
132037,29.6170352,76.9758274
132038,20.593684,78.96288
132039,29.5217315,76.5950555
132040,29.5553521,76.8144298
132041,29.8662899,77.0794705
132044,20.593684,78.96288
132045,20.593684,78.96288
132046,29.51071,76.7105632
132053,20.593684,78.96288
132054,29.8856172,77.1600201
132101,29.2647223,76.9873477
132102,29.2070155,77.0391754
132103,29.4107176,77.0794705
132104,29.3319733,77.0909809
132105,29.3799485,76.8836261
132106,29.3845333,76.9297354
132107,29.2976701,76.745195
132108,29.3251934,77.0219019
132111,20.593684,78.96288
132112,20.593684,78.96288
132113,29.4288777,76.8028933
132114,29.5384407,76.9873477
132115,29.1971931,77.1139984
132116,29.7615507,76.9412601
132117,29.8979883,76.9412601
132120,20.593684,78.96288
132121,20.593684,78.96288
132122,29.2469096,77.0967357
132139,20.593684,78.96288
132140,29.4916335,76.860565
132143,20.593684,78.96288
132144,20.593684,78.96288
132145,29.3115127,76.8836261
132156,20.593684,78.96288
132157,29.8385942,76.8028933
133001,30.377589,76.860565
133003,30.3273557,76.8578396
133004,30.2846381,76.8374995
133005,30.366075,76.8865085
133006,30.3369789,76.9066829
133007,20.593684,78.96288
133008,20.593684,78.96288
133009,20.593684,78.96288
133010,20.593684,78.96288
133021,20.593684,78.96288
133101,30.2736618,76.9527836
133102,30.2463357,76.9066829
133103,30.1934611,77.1715228
133104,30.323633,76.9988669
133105,20.593684,78.96288
133201,30.2222932,77.0622028
133202,30.2444703,77.1139984
133203,30.2516988,77.0161436
133204,30.4247721,77.2175223
133205,30.187597,76.9988669
133206,30.3468402,77.1923165
133207,30.2551606,77.0506896
133301,30.8272925,76.8374995
133302,30.8569568,76.9066829
134001,20.593684,78.96288
134002,20.593684,78.96288
134003,30.2829736,76.7105632
134004,30.2829736,76.7105632
134005,30.3561802,76.7964036
134006,20.593684,78.96288
134007,30.39941,76.7971247
134008,20.593684,78.96288
134011,20.593684,78.96288
134012,20.593684,78.96288
134101,30.7943073,76.9009191
134102,30.7511449,76.9758274
134103,30.6584328,76.9527836
134104,30.8079506,76.9239727
134105,30.7482256,76.9134544
134106,20.593684,78.96288
134107,30.7417398,76.8836261
134108,30.6923542,76.8562405
134109,30.7039849,76.9009191
134111,30.6467431,76.8787443
134112,30.6753287,76.8692134
134113,30.6786134,76.8461496
134114,30.7193224,76.857682
134115,30.6781689,76.8626494
134116,30.6475006,76.9009191
134117,30.6666448,76.8533575
134118,30.5430431,76.9297354
134201,30.4423865,76.9412601
134202,30.4516907,77.0334179
134203,30.4609213,77.1255055
134204,30.5749958,77.0219019
134205,30.6373345,77.0794705
135001,30.1014803,77.2749964
135002,30.1026552,77.1715228
135003,30.194566,77.2979782
135004,30.1474075,77.3381855
135020,20.593684,78.96288
135021,30.3112515,77.4472495
135101,30.1581173,77.3898602
135102,30.3410379,77.309633
135103,30.2489389,77.3898602
135104,20.593684,78.96288
135105,20.593684,78.96288
135106,30.3655022,77.5390127
135132,20.593684,78.96288
135133,30.0117887,77.1715228
136019,20.593684,78.96288
136020,29.8753689,76.606611
136021,29.8346795,76.6528225
136024,20.593684,78.96288
136025,20.593684,78.96288
136026,29.7288542,76.6181655
136027,29.7755234,76.4100267
136029,20.593684,78.96288
136030,29.9464747,76.5257007
136032,20.593684,78.96288
136033,29.927155,76.3405733
136034,30.0632002,76.3405733
136035,29.9627394,76.247912
136036,20.593684,78.96288
136037,20.593684,78.96288
136038,29.9239581,76.860565
136041,20.593684,78.96288
136042,29.8024633,76.5603828
136043,29.6738797,76.5257007
136044,29.5781322,76.4794435
136115,20.593684,78.96288
136116,20.593684,78.96288
136117,29.649819,76.2942507
136118,30.0124711,76.8374995
136119,29.9655011,76.7105632
136126,20.593684,78.96288
136127,20.593684,78.96288
136128,30.0014142,76.6181655
136129,30.1070594,76.6528225
136130,30.1188944,76.7682775
136131,29.9888728,76.9412601
136132,29.9980938,77.0334179
136134,20.593684,78.96288
136135,30.1204366,76.8951551
136136,30.1892775,76.7913558
136154,20.593684,78.96288
136155,20.593684,78.96288
136156,30.0843255,76.9873477
140001,30.9688415,76.5199195
140101,30.788715,76.4678766
140102,30.8288892,76.4215988
140103,30.8435639,76.5603828
140106,20.593684,78.96288
140107,30.6576091,76.8204829
140108,30.9510393,76.6181655
140109,30.9031593,76.6990172
140110,30.833115,76.675922
140111,30.9265583,76.3868797
140112,30.8690201,76.3753046
140113,31.0262091,76.583499
140114,31.0911413,76.6123884
140115,31.183681,76.583499
140116,31.2261886,76.5603828
140117,31.1614039,76.4794435
140118,31.2362867,76.4967919
140119,31.0763633,76.5257007
140121,20.593684,78.96288
140122,20.593684,78.96288
140123,31.2675144,76.4736602
140124,31.3922527,76.3810922
140125,31.3598496,76.3926668
140126,31.3162182,76.3521514
140131,20.593684,78.96288
140132,20.593684,78.96288
140133,31.2787884,76.4215988
140201,30.6051755,76.8461496
140301,30.7630356,76.6528225
140305,20.593684,78.96288
140306,30.6121835,76.7221082
140307,30.6804285,76.6181655
140308,30.705177,76.6932438
140401,30.494883,76.5719414
140402,20.593684,78.96288
140403,20.593684,78.96288
140404,20.593684,78.96288
140405,30.5758434,76.3753046
140406,30.6033273,76.4215988
140407,30.6661237,76.3753046
140408,20.593684,78.96288
140411,20.593684,78.96288
140412,30.7110003,76.4794435
140413,30.7533623,76.5603828
140415,20.593684,78.96288
140416,20.593684,78.96288
140417,30.4140319,76.6643728
140501,30.4681308,76.860565
140504,20.593684,78.96288
140505,20.593684,78.96288
140506,30.526535,76.7682775
140507,30.5835753,76.8836261
140601,30.5482456,76.7047904
140602,30.5900961,76.6181655
140603,30.6193263,76.7913558
140604,30.6625018,76.8129878
140701,30.4121228,76.5372625
140702,30.3062029,76.606611
140801,20.593684,78.96288
140802,30.7788842,76.3753046
140901,30.8177598,76.745195
141001,30.9058885,75.8359645
141002,30.8871823,75.8446802
141003,30.8721582,75.8359645
141004,30.9033011,75.8127199
141005,30.9275869,75.8352382
141006,30.8553803,75.8621101
141007,30.9661366,75.9230976
141008,30.9579652,75.7487779
141009,30.8981642,75.8879143
141010,30.9023784,75.9056753
141011,20.593684,78.96288
141012,30.8894676,75.7894716
141013,30.8614623,75.8156257
141014,30.872488,75.9405178
141015,30.9112101,75.9347113
141016,30.8573921,75.9056753
141017,30.8487083,75.9289046
141101,30.8351329,75.6557206
141102,30.8879365,75.7255192
141103,30.8016559,75.7080727
141104,30.782569,75.6382657
141105,30.7477755,75.6789905
141106,30.7488256,75.6382657
141107,30.7174242,75.6091696
141108,30.6828572,75.7022567
141109,30.6148145,75.5975296
141110,30.9025679,75.6557206
141111,20.593684,78.96288
141112,30.8963885,76.0043731
141113,30.8540139,76.0798006
141114,30.8616124,76.2015572
141115,30.9516436,76.2015572
141116,30.8209004,75.8301537
141117,30.6835578,75.911483
141118,30.7434188,75.841775
141119,30.6210553,75.9579358
141120,30.8263314,75.9811564
141121,30.9041328,76.2826675
141122,30.8236417,75.9056753
141123,30.8875739,75.9753516
141124,30.8365547,76.1261969
141125,30.8590976,76.2826675
141126,30.9364921,76.0623979
141127,20.593684,78.96288
141201,30.768332,75.8127199
141202,30.7304803,75.7255192
141203,30.7581778,75.7720328
141204,30.6932274,75.795284
141205,30.6592546,75.7429636
141206,30.7736401,75.911483
141401,30.7114183,76.1667807
141402,20.593684,78.96288
141410,20.593684,78.96288
141411,30.7364088,76.2942507
141412,30.7589839,76.1377935
141413,30.6762876,76.0507949
141414,30.6613102,76.1203982
141415,30.6111761,76.0739999
141416,30.723887,76.0739999
141417,30.7389636,76.2131474
141418,30.8177127,76.0565965
141419,30.7137422,75.9811564
141420,20.593684,78.96288
141421,30.7863961,76.0275859
141422,30.8050596,75.6382657
141801,30.8190126,76.3289941
142001,30.8015468,75.1662121
142002,20.593684,78.96288
142003,20.593684,78.96288
142009,20.593684,78.96288
142010,20.593684,78.96288
142011,30.7872224,75.2362381
142019,20.593684,78.96288
142020,20.593684,78.96288
142021,30.8846708,75.7811158
142022,30.8507629,75.795284
142023,30.8021366,75.5626039
142024,30.8444549,75.5393155
142025,30.914506,75.5626039
142026,30.7717219,75.4927278
142027,30.9080514,75.754592
142028,30.9000935,75.0494329
142029,30.7969088,75.7662195
142030,30.7068944,75.5160235
142031,30.6287919,75.422819
142032,30.6393835,75.5160235
142033,30.9137957,75.4577775
142034,30.6791038,75.4694285
142035,30.7286926,75.4111644
142036,30.8311764,75.422819
142037,30.6829265,75.3062326
142038,30.7303788,75.0377502
142039,30.5883763,75.3645369
142040,30.7225106,75.2595731
142041,30.8878442,75.329557
142042,30.9766643,75.2245693
142043,30.95318,75.1195107
142044,31.0836964,74.9910112
142045,30.5821885,75.2128996
142046,30.5349232,75.2420722
142047,30.9885482,74.9442585
142048,30.8201879,75.0377502
142049,30.6350206,74.9910112
142050,30.8933344,74.8974925
142051,20.593684,78.96288
142052,30.8765644,74.7571147
142053,30.7629517,75.3178952
142054,30.840241,75.3062326
142055,30.5677591,75.2829046
142056,30.6919253,75.1895576
142057,30.5686365,75.0961549
142058,30.9551837,75.329557
142059,20.593684,78.96288
142060,30.7882297,74.8624092
143001,31.6427636,74.8565613
143002,31.6319333,74.8360918
143003,31.638676,74.9150313
143004,31.6570364,74.8006093
143005,31.637656,74.8258562
143006,31.6052458,74.9150313
143007,20.593684,78.96288
143008,31.6852776,74.8857989
143009,31.5653862,74.8156199
143010,20.593684,78.96288
143020,20.593684,78.96288
143021,20.593684,78.96288
143022,31.5543796,74.9091853
143026,20.593684,78.96288
143101,31.7184729,74.7922202
143102,31.8336912,74.7337069
143103,31.8701822,74.8507131
143104,31.6584536,74.8711807
143105,31.6042801,74.7688173
143106,20.593684,78.96288
143107,31.5957256,74.6985891
143108,31.6065216,74.6049061
143109,31.7041875,74.6751731
143110,31.7526135,74.6166192
143111,31.5850187,75.1662121
143112,31.518065,75.1662121
143113,31.6352742,75.0260667
143114,31.6601982,75.2362381
143115,31.548856,75.0494329
143116,31.6366361,75.1311874
143117,31.4427944,75.0961549
143118,31.4287338,75.1662121
143119,31.716042,75.1428632
143148,20.593684,78.96288
143149,31.5767204,75.0961549
143201,31.4789051,75.2128996
143202,31.5736976,75.2595731
143203,31.6069353,75.3528779
143204,31.5345119,75.3062326
143205,31.6210674,75.2829046
143301,31.4733592,74.7922202
143302,31.4230672,74.7454112
143303,31.3504271,74.6985891
143304,31.2919459,74.7688173
143305,31.3515946,74.6166192
143306,20.593684,78.96288
143401,31.4358719,74.9442585
143402,20.593684,78.96288
143404,20.593684,78.96288
143405,20.593684,78.96288
143406,31.456801,75.0260667
143407,31.3283092,75.0727956
143408,31.2333282,75.0260667
143409,31.3004141,75.0260667
143410,31.2864819,74.9091853
143411,31.3674623,75.0260667
143412,31.1998398,74.9325683
143413,31.5181797,74.9793243
143414,31.5037288,74.6751731
143415,31.3409427,74.8974925
143416,31.1899658,74.7571147
143417,20.593684,78.96288
143418,20.593684,78.96288
143419,31.167207,74.5697617
143421,20.593684,78.96288
143422,31.3338316,75.1195107
143501,31.6491658,74.955948
143502,31.7216097,75.0026972
143503,20.593684,78.96288
143504,31.7077097,75.0727956
143505,31.7758933,75.1778853
143506,31.8217046,75.2829046
143507,31.821849,75.0961549
143510,20.593684,78.96288
143511,31.9039118,75.1311874
143512,32.0081514,75.1662121
143513,31.9024655,75.0260667
143514,31.6934541,75.329557
143515,31.7195462,75.4577775
143516,31.8076404,75.3528779
143517,31.8489174,75.5160235
143518,31.8759997,75.2712393
143519,31.9552657,75.2829046
143520,32.0052487,75.329557
143521,32.0579368,75.3995089
143523,20.593684,78.96288
143524,20.593684,78.96288
143525,32.1635688,75.3528779
143526,32.059461,75.3178952
143527,31.8016434,75.4927278
143528,31.9477986,75.5043761
143529,31.9467096,75.3995089
143530,31.9993777,75.4694285
143531,32.1203289,75.4577775
143532,32.1218823,75.3761952
143533,32.1214135,75.5626039
143534,32.2091953,75.4577775
143601,31.7981381,74.9910112
143602,31.874608,74.9793243
143603,31.9744515,74.8857989
143604,32.010797,75.0026972
143605,31.9303036,75.0727956
143606,31.8216619,74.9091853
144001,31.3271102,75.5917092
144002,31.3101807,75.4927278
144003,31.30073,75.5567821
144004,31.3443197,75.5811376
144005,31.2956907,75.6353564
144006,31.3214172,75.5786125
144007,31.3223614,75.6237184
144008,31.3387761,75.5713361
144009,31.3633457,75.6149893
144010,31.2915834,75.6731734
144011,31.2937587,75.581523
144012,31.3942603,75.5917092
144013,31.380902,75.4752537
144014,31.5410654,75.8010962
144019,20.593684,78.96288
144020,31.2339038,75.6091696
144021,31.3526942,75.5218468
144022,31.2836491,75.6033497
144023,31.3122461,75.6455388
144024,31.2652193,75.6382657
144025,31.3735781,75.6557206
144026,31.2734015,75.5626039
144027,31.3659892,75.5524157
144028,31.2008663,75.5160235
144029,31.0860234,75.9405178
144030,31.394307,75.7894716
144031,31.127391,75.7080727
144032,31.210515,75.6499025
144033,31.1640126,75.5858886
144034,31.1270864,75.6557206
144035,31.0425769,75.7022567
144036,31.0148784,75.6557206
144037,31.0897976,75.6731734
144038,20.593684,78.96288
144039,31.0644037,75.5975296
144040,31.1256127,75.4461256
144041,31.0035902,75.4577775
144042,31.1609794,75.5101999
144043,31.1313426,75.5451379
144044,31.082501,75.5101999
144101,31.33144,75.6789905
144102,31.4038786,75.7255192
144103,31.4257651,75.7458708
144104,31.4028807,75.7662195
144105,31.498644,75.7720328
144106,31.4476463,75.7662195
144201,31.562371,75.6440842
144202,31.6856937,75.5509602
144203,20.593684,78.96288
144204,31.6392332,75.632447
144205,31.835568,75.6906241
144206,31.7726534,75.9230976
144207,31.7418037,75.7487779
144208,31.6183102,75.841775
144209,31.6957869,75.9347113
144210,31.6774597,75.7720328
144211,31.948784,75.6091696
144212,31.6865524,75.6557206
144213,31.7943489,75.8185314
144214,31.8792719,75.5858886
144215,20.593684,78.96288
144216,31.9334219,75.8650148
144219,20.593684,78.96288
144220,20.593684,78.96288
144221,31.9745991,75.737149
144222,31.9255195,75.795284
144223,31.8612736,75.8185314
144224,31.8717691,75.911483
144301,31.433134,75.6382657
144302,31.4604332,75.632447
144303,31.5025002,75.6091696
144304,20.593684,78.96288
144305,31.7338536,75.6789905
144306,32.0155748,75.6091696
144309,20.593684,78.96288
144310,20.593684,78.96288
144311,31.1485113,75.6964405
144401,31.257546,75.8185314
144402,31.2246701,75.7255192
144403,31.2945292,75.7487779
144404,31.3052198,75.8940592
144405,31.3273873,75.841775
144406,31.3414272,75.9172904
144407,31.3383182,75.7894716
144408,31.3362402,75.8708242
144409,31.1401941,75.7720328
144410,31.040489,75.7836589
144411,31.2668695,75.7022567
144413,20.593684,78.96288
144414,20.593684,78.96288
144415,31.0272942,75.9172904
144416,31.0895133,75.8708242
144417,31.0587428,75.9985693
144418,31.100518,75.8185314
144419,31.0584124,75.8940592
144420,20.593684,78.96288
144421,31.10125,76.0275859
144422,31.0436667,75.9637413
144424,20.593684,78.96288
144501,31.1928733,75.841775
144502,31.1542604,75.8475853
144503,31.2480889,75.9347113
144504,31.1818792,75.8940592
144505,31.2058019,75.9579358
144506,31.2136387,76.0798006
144507,31.1134491,75.9347113
144508,31.1737194,76.0739999
144509,31.1646006,75.9405178
144510,31.233377,76.0043731
144511,31.1360694,75.9869609
144512,31.1748651,76.0333885
144513,31.1299616,76.0333885
144514,31.1338927,76.1203982
144515,31.0541077,76.2131474
144516,31.1164914,76.1667807
144517,31.0664914,76.1203982
144518,31.0164645,76.0739999
144519,31.2780551,75.95213
144520,31.2782382,76.0043731
144521,31.051633,76.2942507
144522,31.0165902,76.3868797
144523,31.2638214,76.2826675
144524,31.2164097,76.2594981
144525,31.1765013,76.3058328
144526,31.1040845,76.2594981
144527,31.2213421,76.2015572
144528,31.2711233,76.1435915
144529,31.2921649,76.0798006
144530,31.3384148,76.1435915
144531,31.2609332,76.0507949
144532,31.1576971,76.1841701
144533,30.9977082,76.4736602
144601,31.387092,75.3836931
144602,31.38893,75.3995089
144603,20.593684,78.96288
144604,20.593684,78.96288
144605,20.593684,78.96288
144606,31.2946099,75.1662121
144618,20.593684,78.96288
144619,20.593684,78.96288
144620,31.3459043,75.3178952
144621,31.5838784,75.5393155
144622,31.5114846,75.4927278
144623,31.2672055,75.4111644
144624,31.5572795,75.4184335
144625,31.2465627,75.329557
